accession_number,taxid,CatTemp,OGT,GC,SpName,SpHierarchie
GCF_017874375.1,1431282,mesophile,35.0,0.434,Methanohalophilus_levihalophilus,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanohalophilus~Methanohalophilus_levihalophilus
GCF_004762015.1,2583824,mesophile,37.0,0.642,Halostella_pelagica,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natronoarchaeaceae~Halostella~Halostella_pelagica
GCF_002214585.1,49899,thermophile,80.0,0.538,Thermococcus_profundus,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_profundus
GCF_042663605.1,767515,mesophile,37.0,0.666,Haloplanus_litoreus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloplanus~Haloplanus_litoreus
GCF_001368915.1,1476858,mesophile,37.0,0.673,Haloferax_massiliensis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloferax~Haloferax_massiliensis
GCF_046534395.1,1872104,thermophile,70.0,0.348,Acidianus_unclassified,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Acidianus~Acidianus_unclassified
GCF_029633915.1,487686,mesophile,35.0,0.393,Methanomicrobium_antiquum,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanomicrobiaceae~Methanomicrobium~Methanomicrobium_antiquum
GCF_000215995.1,529709,hyperthermophile,98.0,0.522,Pyrococcus_yayanosii,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Pyrococcus~Pyrococcus_yayanosii
GCF_900114455.1,553466,mesophile,37.0,0.634,Halogranum_rubrum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halogranum~Halogranum_rubrum
GCF_003342675.1,1547898,mesophile,37.5,0.67,Haloplanus_rubicundus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloplanus~Haloplanus_rubicundus
GCF_000337575.1,1227493,thermophile,50.0,0.629,Natrialba_hulunbeirensis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natrialba~Natrialba_hulunbeirensis
GCF_039520965.1,489912,mesophile,42.0,0.666,Halarchaeum_salinum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halobacteriaceae~Halarchaeum~Halarchaeum_salinum
GCF_002215285.1,2247,mesophile,30.0,0.666,Halorubrum_lacusprofundi,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_lacusprofundi
GCF_000018365.1,523850,thermophile,80.0,0.52,Thermococcus_onnurineus,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_onnurineus
GCF_900100385.1,890420,mesophile,40.0,0.621,Halovenus_aranensis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Halovenus~Halovenus_aranensis
GCF_019599515.1,1427151,mesophile,40.0,0.663,Haloarcula_pellucida,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Haloarcula~Haloarcula_pellucida
GCF_000011185.1,273116,thermophile,60.0,0.411,Thermoplasma_volcanium,Archaea~Thermoplasmatota~Thermoplasmata~Thermoplasmatales~Thermoplasmataceae~Thermoplasma~Thermoplasma_volcanium
GCF_003385755.1,49339,thermophile,60.0,0.507,Methanothermobacter_defluvii,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanothermobacter~Methanothermobacter_defluvii
GCA_003056265.1,1973259,hyperthermophile,82.5,0.424,Zestosphaera_tikiterensis,Archaea~Thermoproteota~Thermoprotei~Desulfurococcales~Desulfurococcaceae~Zestosphaera~Zestosphaera_tikiterensis
GCF_000765475.1,2226,mesophile,30.0,0.441,Methanococcoides_methylutens,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanococcoides~Methanococcoides_methylutens
GCF_002287215.1,2193,mesophile,37.0,0.525,Methanocorpusculum_parvum,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanocorpusculaceae~Methanocorpusculum~Methanocorpusculum_parvum
GCF_000336635.1,1227453,mesophile,37.0,0.625,Haloarcula_japonica,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Haloarcula~Haloarcula_japonica
GCF_002214605.1,54262,hyperthermophile,85.0,0.453,Thermococcus_chitonophagus,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_chitonophagus
GCF_000723845.1,381852,mesophile,37.0,0.67,Haloferax_prahovense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloferax~Haloferax_prahovense
GCF_004803735.1,57705,mesophile,37.0,0.666,Halomicrobium_mukohataei,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Halomicrobium~Halomicrobium_mukohataei
GCF_000196655.1,644295,thermophile,50.0,0.376,Methanohalobium_evestigatum,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanohalobium~Methanohalobium_evestigatum
GCF_900036045.1,83986,mesophile,37.0,0.61,Methanoculleus_bourgensis,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanomicrobiaceae~Methanoculleus~Methanoculleus_bourgensis
GCF_000265525.1,163003,thermophile,80.0,0.566,Thermococcus_cleftensis,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_cleftensis
GCA_015661555.1,155863,thermophile,62.0,0.439,Methanothermococcus_okinawensis,Archaea~Methanobacteriota~Methanococci~Methanococcales~Methanococcaceae~Methanothermococcus~Methanothermococcus_okinawensis
GCF_002214505.1,72803,hyperthermophile,85.0,0.557,Thermococcus_siculi,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_siculi
GCF_014648235.1,1670455,thermophile,67.5,0.519,Sulfodiicoccus_acidiphilus,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Sulfodiicoccus~Sulfodiicoccus_acidiphilus
GCF_001571405.1,2200,thermophile,55.0,0.603,Methanoculleus_thermophilus,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanomicrobiaceae~Methanoculleus~Methanoculleus_thermophilus
GCF_000517445.1,582419,thermophile,80.0,0.408,Thermococcus_paralvinellae,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_paralvinellae
GCF_000214415.1,880724,hyperthermophile,85.0,0.333,Methanotorris_igneus,Archaea~Methanobacteriota~Methanococci~Methanococcales~Methanocaldococcaceae~Methanotorris~Methanotorris_igneus
GCF_007671725.1,2583992,mesophile,38.0,0.694,Halorubrum_depositum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_depositum
GCA_045689355.1,72612,mesophile,37.0,0.616,Methanoculleus_palmolei,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanomicrobiaceae~Methanoculleus~Methanoculleus_palmolei
GCF_036323395.1,54256,hyperthermophile,97.0,0.594,Pyrodictium_abyssi,Archaea~Thermoproteota~Thermoprotei~Desulfurococcales~Pyrodictiaceae~Pyrodictium~Pyrodictium_abyssi
GCF_001488575.1,1407499,mesophile,45.0,0.675,Halobacterium_hubeiense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halobacteriaceae~Halobacterium~Halobacterium_hubeiense
GCF_000769655.1,1505907,hyperthermophile,85.0,0.543,Thermococcus_eurythermalis,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_eurythermalis
GCF_003430825.1,2044521,mesophile,41.5,0.633,Natrarchaeobaculum_sulfurireducens,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natrarchaeobaculum~Natrarchaeobaculum_sulfurireducens
GCF_024054535.1,139207,hyperthermophile,85.0,0.435,Thermococcus_alcaliphilus,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_alcaliphilus
GCF_000092185.1,633148,hyperthermophile,85.0,0.472,Thermosphaera_aggregans,Archaea~Thermoproteota~Thermoprotei~Desulfurococcales~Desulfurococcaceae~Thermosphaera~Thermosphaera_aggregans
GCF_000337035.1,1227466,mesophile,37.0,0.681,Halorubrum_coriense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_coriense
GCF_024464185.1,1198298,mesophile,37.0,0.68,Haloarchaeobius_salinus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halorubellaceae~Haloarchaeobius~Haloarchaeobius_salinus
GCF_013388255.1,536044,mesophile,37.0,0.455,Methanolobus_zinderi,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanolobus~Methanolobus_zinderi
GCF_002952775.1,2055893,mesophile,43.0,0.641,Halalkaliarchaeum_desulfuricum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halalkaliarchaeum~Halalkaliarchaeum_desulfuricum
GCF_024662215.1,33865,mesophile,30.0,0.433,Methanoplanus_endosymbiosus,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanomicrobiaceae~Methanoplanus~Methanoplanus_endosymbiosus
GCF_023169565.1,43687,thermophile,65.0,0.472,Metallosphaera_sedula,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Metallosphaera~Metallosphaera_sedula
GCF_002215485.1,2285,thermophile,70.0,0.375,Sulfolobus_acidocaldarius,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Sulfolobus~Sulfolobus_acidocaldarius
GCF_000455365.1,1293047,mesophile,40.0,0.652,Halopiger_djelfimassiliensis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Halopiger~Halopiger_djelfimassiliensis
GCF_000725425.1,1343739,thermophile,80.0,0.436,Palaeococcus_pacificus,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Palaeococcus~Palaeococcus_pacificus
GCF_052060055.1,1670458,mesophile,43.0,0.683,Haloarchaeobius_baliensis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halorubellaceae~Haloarchaeobius~Haloarchaeobius_baliensis
GCF_026627365.1,47303,thermophile,65.0,0.396,Sulfuracidifex_metallicus,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Sulfuracidifex~Sulfuracidifex_metallicus
GCF_900156475.1,308853,mesophile,30.0,0.622,Natronorubrum_thiooxidans,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronorubrum~Natronorubrum_thiooxidans
GCF_005890195.1,69527,mesophile,37.0,0.652,Natrinema_pallidum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natrinema~Natrinema_pallidum
GCF_042662525.1,2004704,mesophile,43.5,0.652,Halorubrum_trueperi,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_trueperi
GCF_900108505.1,1267564,mesophile,40.0,0.656,Halopenitus_malekzadehii,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halopenitus~Halopenitus_malekzadehii
GCF_900156425.1,553468,mesophile,38.5,0.586,Haladaptatus_litoreus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haladaptataceae~Haladaptatus~Haladaptatus_litoreus
GCF_000186365.1,765177,hyperthermophile,85.0,0.533,Desulfurococcus_mucosus,Archaea~Thermoproteota~Thermoprotei~Desulfurococcales~Desulfurococcaceae~Desulfurococcus~Desulfurococcus_mucosus
GCF_008245085.1,186497,hyperthermophile,97.0,0.411,Pyrococcus_furiosus,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Pyrococcus~Pyrococcus_furiosus
GCF_046498025.1,1879286,mesophile,37.0,0.7,Halorubrum_unclassified,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_unclassified
GCF_000275605.1,1185654,hyperthermophile,97.0,0.411,Pyrococcus_furiosus,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Pyrococcus~Pyrococcus_furiosus
GCF_004799665.1,1457250,mesophile,37.0,0.645,Halapricum_salinum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Halapricum~Halapricum_salinum
GCF_024508235.1,224402,mesophile,37.5,0.658,Halococcus_qingdaonensis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halococcaceae~Halococcus~Halococcus_qingdaonensis
GCF_000966265.1,588319,hyperthermophile,83.0,0.552,Palaeococcus_ferrophilus,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Palaeococcus~Palaeococcus_ferrophilus
GCF_020567425.1,1126234,mesophile,37.0,0.675,Salinirubrum_litoreum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Salinirubrum~Salinirubrum_litoreum
GCF_050122995.1,1042953,thermophile,47.5,0.696,Haloparvum_alkalitolerans,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloparvum~Haloparvum_alkalitolerans
GCF_000151225.1,521002,mesophile,37.0,0.323,Methanobrevibacter_smithii,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobrevibacter~Methanobrevibacter_smithii
GCF_000755245.1,1264579,mesophile,37.5,0.635,Halococcus_sediminicola,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halococcaceae~Halococcus~Halococcus_sediminicola
GCF_000017625.1,456442,mesophile,37.0,0.556,Methanoregula_boonei,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanoregulaceae~Methanoregula~Methanoregula_boonei
GCF_000217715.1,797210,mesophile,37.0,0.663,Halopiger_xanaduensis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Halopiger~Halopiger_xanaduensis
GCF_002572525.1,1608465,thermophile,50.0,0.638,Natrinema_unclassified,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natrinema~Natrinema_unclassified
GCF_047915675.1,647171,thermophile,70.0,0.332,Methanotorris_formicicus,Archaea~Methanobacteriota~Methanococci~Methanococcales~Methanocaldococcaceae~Methanotorris~Methanotorris_formicicus
GCF_003841485.1,1679091,mesophile,45.0,0.622,Natrarchaeobius_halalkaliphilus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natrarchaeobius~Natrarchaeobius_halalkaliphilus
GCF_010692885.1,60847,mesophile,40.0,0.609,Halogeometricum_borinquense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halogeometricum~Halogeometricum_borinquense
GCF_900100875.1,1236180,thermophile,48.0,0.666,Halopelagius_longus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halopelagius~Halopelagius_longus
GCF_000152265.2,333146,mesophile,42.0,0.377,Ferroplasma_acidarmanus,Archaea~Thermoplasmatota~Thermoplasmata~Thermoplasmatales~Ferroplasmaceae~Ferroplasma~Ferroplasma_acidarmanus
GCF_000739555.1,1380430,mesophile,37.0,0.695,Halolamina_rubra,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halolamina~Halolamina_rubra
GCF_000017165.1,406327,mesophile,35.0,0.322,Methanococcus_vannielii,Archaea~Methanobacteriota~Methanococci~Methanococcales~Methanococcaceae~Methanococcus~Methanococcus_vannielii
GCF_000455345.1,1293048,thermophile,53.0,0.669,Halopiger_goleimassiliensis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Halopiger~Halopiger_goleimassiliensis
GCF_026586675.1,1526162,mesophile,43.5,0.686,Halorubrum_yunnanense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_yunnanense
GCF_002214565.1,187880,hyperthermophile,88.0,0.564,Thermococcus_radiotolerans,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_radiotolerans
GCF_000243315.1,671065,thermophile,65.0,0.486,Metallosphaera_yellowstonensis,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Metallosphaera~Metallosphaera_yellowstonensis
GCF_000470655.1,1033806,mesophile,45.0,0.637,Halorhabdus_tiamatea,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Halorhabdus~Halorhabdus_tiamatea
GCF_000022365.1,593117,hyperthermophile,88.0,0.542,Thermococcus_gammatolerans,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_gammatolerans
GCF_021233435.1,223182,mesophile,37.0,0.659,Halobacterium_noricense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halobacteriaceae~Halobacterium~Halobacterium_noricense
GCF_001639295.1,49547,mesophile,30.0,0.286,Methanobrevibacter_curvatus,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobrevibacter~Methanobrevibacter_curvatus
GCF_000969905.1,1434123,mesophile,37.0,0.426,Methanosarcina_vacuolata,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanosarcina~Methanosarcina_vacuolata
GCF_900103715.1,660521,mesophile,37.0,0.66,Halogranum_gelatinilyticum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halogranum~Halogranum_gelatinilyticum
GCF_001315985.1,1293043,hyperthermophile,90.0,0.464,Vulcanisaeta_distributa,Archaea~Thermoproteota~Thermoprotei~Thermoproteales~Thermoproteaceae~Vulcanisaeta~Vulcanisaeta_distributa
GCF_000025665.1,439481,thermophile,70.0,0.394,cAciduliprofundum_unclassified,Archaea~Thermoplasmatota~no_class~no_order~no_family~cAciduliprofundum~cAciduliprofundum_unclassified
GCF_900114435.1,767519,mesophile,42.0,0.672,Halomicrobium_zhouii,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Halomicrobium~Halomicrobium_zhouii
GCF_000970085.1,1434120,mesophile,37.0,0.455,Methanosarcina_siciliae,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanosarcina~Methanosarcina_siciliae
GCF_001971705.1,588898,mesophile,35.0,0.625,Natronorubrum_daqingense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronorubrum~Natronorubrum_daqingense
GCF_902384015.1,2317,mesophile,37.0,0.291,Methanosphaera_stadtmanae,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanosphaera~Methanosphaera_stadtmanae
GCF_024494595.1,1126237,mesophile,37.0,0.657,Halobellus_rarus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halobellus~Halobellus_rarus
GCF_046197875.1,120963,mesophile,35.0,0.292,Methanobrevibacter_acididurans,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobrevibacter~Methanobrevibacter_acididurans
GCF_024730625.1,302484,mesophile,37.0,0.632,Haloferax_larsenii,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloferax~Haloferax_larsenii
GCF_017357525.1,126734,mesophile,37.0,0.608,Methanofollis_aquaemaris,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanomicrobiaceae~Methanofollis~Methanofollis_aquaemaris
GCF_017873815.1,261290,mesophile,37.0,0.656,Halorubrum_alkaliphilum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_alkaliphilum
GCF_900880625.1,1775544,mesophile,37.0,0.624,Halorhabdus_rudnickae,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Halorhabdus~Halorhabdus_rudnickae
GCF_024300825.1,1046043,mesophile,40.0,0.637,Natronomonas_gomsonensis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natronomonadaceae~Natronomonas~Natronomonas_gomsonensis
GCF_002252985.1,1383851,mesophile,37.0,0.683,Halorubrum_halodurans,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_halodurans
GCF_002214465.1,54077,thermophile,80.0,0.554,Thermococcus_barossii,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_barossii
GCF_049705795.1,2238,mesophile,37.0,0.632,Haloarcula_marismortui,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Haloarcula~Haloarcula_marismortui
GCF_000745485.1,408577,mesophile,28.0,0.356,Methanobacterium_veterum,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobacterium~Methanobacterium_veterum
GCF_000175555.1,555311,hyperthermophile,85.0,0.355,Saccharolobus_solfataricus,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Saccharolobus~Saccharolobus_solfataricus
GCF_037389515.1,521001,mesophile,37.0,0.321,Methanobrevibacter_smithii,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobrevibacter~Methanobrevibacter_smithii
GCF_000015765.1,410358,mesophile,37.0,0.511,Methanocorpusculum_labreanum,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanocorpusculaceae~Methanocorpusculum~Methanocorpusculum_labreanum
GCF_008124605.1,2597657,mesophile,37.0,0.676,Halobacterium_salinarum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halobacteriaceae~Halobacterium~Halobacterium_salinarum
GCF_001469955.1,1514971,mesophile,34.0,0.635,Haloprofundus_marisrubri,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloprofundus~Haloprofundus_marisrubri
GCF_003634715.1,182779,mesophile,35.0,0.62,Haloarcula_quadrata,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Haloarcula~Haloarcula_quadrata
GCF_008245225.1,2448032,mesophile,40.0,0.637,Natrialba_swarupiae,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natrialba~Natrialba_swarupiae
GCF_027555065.1,145263,thermophile,65.0,0.497,Methanothermobacter_marburgensis,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanothermobacter~Methanothermobacter_marburgensis
GCF_000327505.1,673860,thermophile,70.0,0.445,cAciduliprofundum_unclassified,Archaea~Thermoplasmatota~no_class~no_order~no_family~cAciduliprofundum~cAciduliprofundum_unclassified
GCF_000337415.1,1227485,mesophile,37.0,0.69,Halorubrum_tebenquichense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_tebenquichense
GCF_014646795.1,399579,thermophile,60.0,0.568,Thermogymnomonas_acidicola,Archaea~Thermoplasmatota~Thermoplasmata~Thermoplasmatales~no_family~Thermogymnomonas~Thermogymnomonas_acidicola
GCF_020217425.1,1586233,mesophile,45.0,0.685,Halomicrobium_urmianum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Halomicrobium~Halomicrobium_urmianum
GCF_000746075.1,386456,mesophile,37.0,0.356,Methanobacterium_arcticum,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobacterium~Methanobacterium_arcticum
GCF_001462395.1,2309,hyperthermophile,97.0,0.634,Pyrodictium_occultum,Archaea~Thermoproteota~Thermoprotei~Desulfurococcales~Pyrodictiaceae~Pyrodictium~Pyrodictium_occultum
GCF_014646875.1,931585,mesophile,37.0,0.663,Halobellus_salinus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halobellus~Halobellus_salinus
GCF_900107665.1,555874,mesophile,40.0,0.659,Haloplanus_vescus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloplanus~Haloplanus_vescus
GCF_000336715.1,1227457,mesophile,37.0,0.632,Halococcus_thailandensis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halococcaceae~Halococcus~Halococcus_thailandensis
GCF_000430905.1,1122230,mesophile,37.0,0.525,Methanocorpusculum_bavaricum,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanocorpusculaceae~Methanocorpusculum~Methanocorpusculum_bavaricum
GCF_900100335.1,1095776,mesophile,37.0,0.647,Natronorubrum_texcoconense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronorubrum~Natronorubrum_texcoconense
GCF_000337595.1,1230458,mesophile,37.0,0.629,Natrialba_taiwanensis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natrialba~Natrialba_taiwanensis
GCF_013329795.1,111955,thermophile,75.0,0.331,Sulfurisphaera_tokodaii,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Sulfurisphaera~Sulfurisphaera_tokodaii
GCF_001402935.1,312540,thermophile,55.0,0.355,Acidiplasma_cupricumulans,Archaea~Thermoplasmatota~Thermoplasmata~Thermoplasmatales~Ferroplasmaceae~Acidiplasma~Acidiplasma_cupricumulans
GCF_000193375.1,999630,hyperthermophile,86.0,0.603,Thermoproteus_uzoniensis,Archaea~Thermoproteota~Thermoprotei~Thermoproteales~Thermoproteaceae~Thermoproteus~Thermoproteus_uzoniensis
GCF_000474235.1,1261545,mesophile,37.0,0.683,Halarchaeum_acidiphilum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halobacteriaceae~Halarchaeum~Halarchaeum_acidiphilum
GCF_021233415.1,2039234,mesophile,35.0,0.691,Halobacterium_litoreum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halobacteriaceae~Halobacterium~Halobacterium_litoreum
GCF_900114025.1,44930,mesophile,37.0,0.634,Natronobacterium_gregoryi,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronobacterium~Natronobacterium_gregoryi
GCF_900198835.1,2016361,hyperthermophile,82.5,0.554,Thermococcus_henrietii,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_henrietii
GCF_900111645.1,1353158,mesophile,25.0,0.449,Methanococcoides_vulcani,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanococcoides~Methanococcoides_vulcani
GCF_000194625.1,693661,thermophile,75.0,0.479,Archaeoglobus_veneficus,Archaea~Methanobacteriota~Archaeoglobi~Archaeoglobales~Archaeoglobaceae~Archaeoglobus~Archaeoglobus_veneficus
GCF_000513855.1,1150674,hyperthermophile,90.0,0.455,Desulfurococcus_amylolyticus,Archaea~Thermoproteota~Thermoprotei~Desulfurococcales~Desulfurococcaceae~Desulfurococcus~Desulfurococcus_amylolyticus
GCF_026616205.1,1515593,mesophile,37.0,0.686,Halolamina_litorea,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halolamina~Halolamina_litorea
GCF_000220645.1,1053692,thermophile,50.0,0.338,Methanococcus_maripaludis,Archaea~Methanobacteriota~Methanococci~Methanococcales~Methanococcaceae~Methanococcus~Methanococcus_maripaludis
GCF_000371805.1,1069083,thermophile,80.0,0.294,Methanocaldococcus_villosus,Archaea~Methanobacteriota~Methanococci~Methanococcales~Methanocaldococcaceae~Methanocaldococcus~Methanocaldococcus_villosus
